Date,Price
2022-10-21-10:34:17,55800
2022-10-21-10:35:18,55800
2022-10-21-10:36:19,55800
2022-10-21-10:37:20,55800
2022-10-21-10:37:28,55800
2022-10-21-10:38:13,55800
2022-10-21-10:38:38,55800
2022-10-21-10:38:52,55800
2022-10-21-10:41:43,55700
2022-10-21-10:43:58,55700
2022-10-21-10:44:59,55700
2022-10-21-10:45:18,55700
2022-10-21-10:46:18,55700
2022-10-21-10:47:18,55700
2022-10-21-10:47:25,55700
2022-10-21-10:47:45,55700
2022-10-21-10:48:45,55800
2022-10-21-10:49:45,55700
2022-10-21-10:50:00,55700
2022-10-21-10:50:31,55700
2022-10-21-10:51:01,55700
2022-10-21-10:51:31,55700
2022-10-21-10:52:02,55700
2022-10-21-10:52:32,55800
2022-10-21-10:53:03,55700
2022-10-21-10:53:33,55800
2022-10-21-10:54:03,55800
2022-10-21-10:54:33,55800
2022-10-21-10:55:04,55800
2022-10-21-10:55:34,55700
2022-10-21-10:56:04,55700
2022-10-21-10:56:34,55700
2022-10-21-10:57:05,55700
2022-10-21-10:57:35,55800
2022-10-21-10:58:05,55700
2022-10-21-10:58:35,55800
2022-10-21-10:59:05,55900
2022-10-21-10:59:35,55900
2022-10-21-11:00:05,55900
2022-10-21-11:00:35,55900
2022-10-21-11:01:05,55900
2022-10-21-11:01:35,55800
2022-10-21-11:02:05,55800
2022-10-21-11:02:35,55900
2022-10-21-11:03:05,55900
2022-10-21-11:03:35,56000
2022-10-21-11:04:05,56000
2022-10-21-11:04:35,55900
2022-10-21-11:05:06,55900
2022-10-21-11:05:36,56000
2022-10-21-11:06:06,55900
2022-10-21-11:06:36,55800
2022-10-21-11:07:06,55900
2022-10-21-11:07:36,56000
2022-10-21-11:08:06,55900
2022-10-21-11:08:37,56000
2022-10-21-11:09:08,56000
2022-10-21-11:09:38,56000
2022-10-21-11:10:08,56000
2022-10-21-11:10:38,55900
2022-10-21-11:11:08,55800
2022-10-21-11:11:38,55900
2022-10-21-11:14:18,55900
2022-10-21-11:37:12,55900
2022-10-21-11:37:59,56000
2022-10-21-11:38:29,56000
2022-10-21-11:38:59,56000
2022-10-21-11:39:29,56000
2022-10-21-11:39:59,55900
2022-10-21-11:40:29,56000
2022-10-21-11:40:59,56000
2022-10-21-11:41:29,56000
2022-10-21-11:42:00,56000
2022-10-21-11:42:30,56000
2022-10-21-11:43:00,55900
2022-10-21-11:43:31,55900
2022-10-21-11:44:01,56000
2022-10-21-11:44:31,56000
2022-10-21-11:45:02,56000
2022-10-21-11:45:32,55900
2022-10-21-11:46:02,56000
2022-10-21-11:46:32,55900
2022-10-21-11:47:03,55900
2022-10-21-11:47:33,55900
2022-10-21-11:48:03,56000
2022-10-21-11:48:33,55900
2022-10-21-11:49:03,55900
2022-10-21-11:49:33,55900
2022-10-21-11:50:03,56000
2022-10-21-11:50:33,56000
2022-10-21-11:51:03,55900
2022-10-21-11:51:33,56000
2022-10-21-11:52:03,56000
2022-10-21-11:52:33,55900
2022-10-21-11:53:03,56000
2022-10-21-11:53:34,56000
2022-10-21-11:54:04,55900
2022-10-21-11:54:34,56000
2022-10-21-11:55:04,56000
2022-10-21-11:55:34,56000
2022-10-21-11:56:05,56000
2022-10-21-11:56:35,55900
2022-10-21-11:57:06,55900
2022-10-21-11:57:36,56000
2022-10-21-11:58:06,55900
2022-10-21-11:58:37,56000
2022-10-21-11:59:07,56000
2022-10-21-11:59:37,56000
2022-10-21-12:00:07,56000
2022-10-21-12:00:38,56000
2022-10-21-12:01:08,56000
2022-10-21-12:01:38,55900
2022-10-21-12:02:08,56000
2022-10-21-12:02:38,56000
2022-10-21-12:03:09,56000
2022-10-21-12:03:39,55900
2022-10-21-12:04:09,56000
2022-10-21-12:04:39,56000
2022-10-21-12:05:09,56000
2022-10-21-12:05:39,56000
2022-10-21-12:06:10,56000
2022-10-21-12:06:40,56000
2022-10-21-12:07:10,56000
2022-10-21-12:07:41,56000
2022-10-21-12:08:11,55900
2022-10-21-12:08:41,56000
2022-10-21-12:09:11,55900
2022-10-21-12:09:41,56000
2022-10-21-12:10:11,56000
2022-10-21-12:10:42,56000
2022-10-21-12:11:12,56000
2022-10-21-12:11:42,55900
2022-10-21-12:12:13,56000
2022-10-21-12:12:43,56000
2022-10-21-12:13:13,55900
2022-10-21-12:13:43,56000
2022-10-21-12:14:13,56000
2022-10-21-12:14:44,55900
2022-10-21-12:15:14,55900
2022-10-21-12:15:44,56000
2022-10-21-12:16:14,56000
2022-10-21-12:16:44,55900
2022-10-21-12:17:14,55900
2022-10-21-12:17:44,55900
2022-10-21-12:18:14,56000
2022-10-21-12:18:45,56000
2022-10-21-12:19:15,55900
2022-10-21-12:19:46,55900
2022-10-21-12:20:16,56000
2022-10-21-12:20:46,56000
2022-10-21-12:21:16,56100
2022-10-21-12:21:47,56000
2022-10-21-12:22:17,56000
2022-10-21-12:22:47,56100
2022-10-21-12:23:17,56100
2022-10-21-12:23:48,56100
2022-10-21-12:24:18,56100
2022-10-21-12:24:48,56100
2022-10-21-12:25:19,56100
2022-10-21-12:25:49,56100
2022-10-21-12:26:19,56100
