Date,Open,High,Low,Close,Adj Close,Volume
10/20/2017,52800,54100,52800,53840,46617.50391,8027050
10/23/2017,54600,54640,54000,54300,47015.78906,8311050
10/24/2017,54700,54780,54040,54040,46790.67969,5806050
10/25/2017,54040,54420,53700,53900,46669.44922,5882850
10/26/2017,53720,53900,52400,52400,45370.67578,9776550
10/27/2017,52400,53320,52140,53080,45959.45313,7392500
10/30/2017,53780,54320,53700,54040,46790.67969,8196150
10/31/2017,54060,55440,53500,55080,47691.16797,13381550
11/1/2017,57500,57500,56180,57220,49544.08203,14510250
11/2/2017,57500,57520,56760,57060,49405.53906,10721050
11/3/2017,57060,57140,55860,56380,48816.76953,9935800
11/6/2017,56380,56500,55340,56380,48816.76953,9000950
11/7/2017,56380,56920,55860,56100,48574.32813,7464550
11/8/2017,56100,57060,55860,56760,49145.79688,8520200
11/9/2017,56920,56920,55900,56340,48782.13672,11994050
11/10/2017,55800,56540,55780,56400,48834.08203,6748800
11/13/2017,56400,56800,56100,56380,48816.76953,8806650
11/14/2017,56380,56740,55920,55920,48418.47266,6725000
11/15/2017,55920,56320,55320,55340,47916.28125,8816950
11/16/2017,55440,56000,55400,55780,48297.25781,7640700
11/17/2017,56400,56880,55820,55820,48331.89453,10733150
11/20/2017,55900,55980,55200,55200,47795.05078,9472750
11/21/2017,55400,55840,55280,55280,47864.32422,10324700
11/22/2017,55980,56200,55620,55960,48453.11328,7952950
11/23/2017,55960,55980,55020,55300,47881.64453,6272900
11/24/2017,55300,55500,55180,55460,48020.18359,4536200
11/27/2017,55360,55360,52640,52640,45578.48438,18128900
11/28/2017,52700,53280,51720,53280,46132.62891,13499400
11/29/2017,53200,53240,52500,52600,45543.84375,9590250
11/30/2017,50800,51860,50200,50800,43985.3125,29634150
12/1/2017,50800,51780,50800,50840,44019.94922,12868600
12/4/2017,50840,51340,50020,51340,44452.87109,14865050
12/5/2017,50600,51300,50280,51260,44383.60156,9326550
12/6/2017,51260,51560,50020,50020,43309.94531,10889200
12/7/2017,50040,50980,50020,50740,43933.35156,11065600
12/8/2017,51360,52000,51040,52000,45024.33203,11290450
12/11/2017,52000,52040,51500,51780,44833.83594,8125850
12/12/2017,51820,52100,51660,52100,45110.91406,8765050
12/13/2017,52100,52100,51100,51320,44435.55469,11333700
12/14/2017,51320,52280,51060,51060,44210.44141,20310400
12/15/2017,51240,51480,50520,50620,43829.46094,14928550
12/18/2017,50620,51240,50620,51200,44331.64453,7350250
12/19/2017,51540,52080,51520,51560,44643.35938,11978600
12/21/2017,51000,51060,49100,49140,42547.99609,15624300
12/22/2017,49400,49960,49240,49700,43032.87109,11199650
12/26/2017,49760,50100,48200,48200,41734.08984,16039850
12/27/2017,48960,49560,48460,49360,43123.19531,10743600
12/28/2017,49560,50960,49500,50960,44521.01953,8985450
1/2/2018,51380,51400,50780,51020,44573.4375,8474250
1/3/2018,52540,52560,51420,51620,45097.63281,10013500
1/4/2018,52120,52180,50640,51080,44625.86328,11695450
1/5/2018,51300,52120,51200,52120,45534.45703,9481150
1/8/2018,52400,52520,51500,52020,45447.08594,8383650
1/9/2018,51460,51720,49980,50400,44031.78125,18013600
1/10/2018,50500,50520,48640,48840,42668.89453,18566800
1/11/2018,48200,49260,48020,48240,42144.71094,25123800
1/12/2018,48240,48480,46760,48200,42109.75781,27270450
1/15/2018,48800,48980,47920,48540,42406.79688,10096000
1/16/2018,48760,50140,48620,50000,43682.32031,20389650
1/17/2018,50020,50020,49060,49620,43350.33594,11053050
1/18/2018,50020,50640,49820,49900,43594.96094,14848850
1/19/2018,50380,50380,49040,49320,43088.23828,9219950
1/22/2018,48640,48680,47960,48240,42144.71094,12520900
1/23/2018,48660,49160,48300,49160,42948.46484,13532700
1/24/2018,48860,49700,48560,49340,43105.71875,9550500
1/25/2018,49220,50360,49160,50260,43909.47266,11160350
1/26/2018,50500,50780,49840,50780,44363.76953,10350100
1/29/2018,51200,51480,50900,51220,44748.16797,11838800
1/30/2018,50440,50640,49780,49800,43507.59375,12284550
1/31/2018,50020,54140,49600,49900,43594.96094,64681300
2/1/2018,50620,50960,49720,49820,43525.05469,27609450
2/2/2018,49380,49400,47700,47700,41672.9375,29260350
2/5/2018,46500,48320,46000,47920,41865.14453,28357900
2/6/2018,46600,47920,46580,47420,41428.30859,19406450
2/7/2018,48240,48260,45800,45800,40013.01172,23448050
2/8/2018,46120,46620,45980,46000,40187.73828,23251050
2/9/2018,44440,45180,44420,44700,39051.99609,17465000
2/12/2018,45100,46320,45040,45720,39943.11328,15754950
2/13/2018,46200,48060,46200,47540,41533.14453,18923250
2/14/2018,48080,49100,47940,49000,42808.67578,18905900
2/19/2018,49800,49800,47860,48380,42267.02734,15353450
2/20/2018,48040,48160,47220,47400,41410.84375,10122600
2/21/2018,47280,47580,46840,47280,41306.00391,12880200
2/22/2018,47260,47260,46760,46760,40851.70313,8869950
2/23/2018,46760,47800,46760,47220,41253.58594,12423300
2/26/2018,47280,47560,47080,47380,41393.37109,9560650
2/27/2018,48360,48380,47380,47380,41393.37109,9830550
2/28/2018,47380,48100,47000,47060,41113.79688,15162350
