Date,Id,Cash,Count,Stock
2022-10-21-19:50:35,0,0,0,samsumg electronics
2022-10-21-20:01:30,0,1000000,0,samsumg electronics
2022-10-21-20:02:57,0,1001000,0,samsumg electronics
2022-10-21-20:13:49,0,1000000,0,samsumg electronics
2022-10-21-20:14:20,0,441000,10,samsumg electronics
2022-10-21-20:14:37,0,1000000,0,samsumg electronics
2022-10-21-20:16:42,0,441000,10,samsumg electronics
2022-10-21-20:16:57,0,1000000,0,samsumg electronics
2022-10-21-20:49:19,0,1001000,0,samsumg electronics
2022-10-21-20:49:19,0,1002000,0,samsumg electronics
2022-10-21-20:49:39,0,1002100,0,samsumg electronics
2022-10-21-20:49:39,0,1002200,0,samsumg electronics
2022-10-21-20:50:24,0,1002100,0,samsumg electronics
2022-10-21-20:51:27,0,1002200,0,samsumg electronics
2022-10-21-20:51:39,0,1002100,0,samsumg electronics
2022-10-21-20:52:18,0,946200,1,samsumg electronics
2022-10-21-20:52:58,0,1002100,0,samsumg electronics
